'1274386869829197826','don t let our PM see this in case he thinks it s a challenge for him to try to beat it','','','Neutral'
'1274387450048049153','China desile price in China is 50rs litr in India 75rs litr where is trade friendly competitive Not to f','Hubli','','Positive'
'1274387450115342340','Good morning This may sound like an odd project but here in Tulsa I m taking a look at the billboard space people have b','DC','','Positive'
'1274387450312327168','Not a single soul has died due to the Coronavirus from the riots of the last two weeks But tomorrow after the Trump rally','','','Negative'
'1274387450446655489','VanDerMeer Donald Trump single handedly managed to bring back the 1918 Pandemic the 1929 Recession and the 1968 Race riots in ju','United States','','Negative'
'1274387450274680838','Farmworker advocates called Ron DeSantis comments shameful after the Florida governor said overwhelmingly Hispa','The wonders of Long Island, NY','','Positive'
'1274387450555555841','Thousands of unwashed unmasked uneducated uninformed heavily armed inebriated inbreds lined up for hours in the hot','','','Positive'
'1274387450400591872','Wearing a diaper to own the libs magawinning','','','Positive'
'1274387450605924353','Homoeopathy treatment for Covid 19 positive patients will lessen the risk of complications give quick recovery and neg','','','Positive'
'1274387450589151232','And here comes the PR campaign Now sit tight amp brace yourself for a barrage of sponsored articles praising B wood Biggies lik','New Delhi, India','','Negative'
'1274387450912104449','Canada We gotta stand up for each other at home and people around the world Join me and to help ask','Dhaka, Bangladesh','','Negative'
'1274387450966740993','Coronavirus attacks the lungs A federal agency just halted funding for new lung treatments The shift quietly disclose','Chicago ','','Positive'
'1274387451247685632','reminder Black Lives Matter and COVID 19 aren t over just because your privilege declared it to be','','','Negative'
'1274387451545481217','America takes on COVID 19','','','Neutral'
'1274387451704999936','The quote inside is so funny lol','','','Positive'
'1274387451868520450','Thanks to the leadership of President Trump and the courage and compassion of the American people our public health system is fa','Normandy Shores, FL','','Positive'
'1274387451986030592','I couldn t let COVID 19 ruin my pregnancy glow tonychillz on the shoot momsinquarantine pregnant','The Sky, Soaring','','Positive'
'1274387452132761601','tape99 Corona going to put up wilt numbers and win 11 titles like Russell','','','Positive'
'1274387452363325440','FUCKING STOP BONDING amp GOING OUT WITH YOUR FRIENDS WHILE WE RE STILL IN A PANDEMIC amp A GLOBAL HEALTH CRISIS PUTANGINA W','','','Negative'
'1274387452451598338','Rao To prevent the spread of COVID 19 Clean your hands often Use soap and water or an alcohol based hand rub','','','Positive'
'1274387452585795584','Connolly She does Everyone knows is biased and has a serious axe to grind against COVID 19 Been against it the wh','O''Hara Township, PA','','Negative'
'1274387452610789376','Good job Apple The re opening of many businesses has CLEARLY been rushed','Los Angeles, CA','','Positive'
'1274387452564664321','I spoke with a hospital worker today who told me all the hospitals in Yakima are full so they re sending patients to S','Seattle, WA','','Positive'
'1274387452761985025','We re months into this pandemic and still don t have proper testing PPE or clear nationwide guidance Instead Donald Trump','London, England, Europe!','','Positive'
'1274387453009420288','Are they trying to outdo Brazil Just passed 1mill covid 19 cases','','','Neutral'
'1274387452900315136','Before the Nov 2020 election the president will have brought back the economy country from the Obama admin reces','Bama+Fan','','Neutral'
'1274387453084790785','If a friend of yours literally dying from the virus isn t enough to convince you it s a thing I m not sure there s anything t','','','Negative'
'1274387453265264640','A huge THANK YOU to all radiographers in our NHS We re incredibly grateful for all the work you ve been doing throughout','Stoke-on-Trent, England','','Positive'
'1274387454032777220','WOW Atlanta mayor warns hospitals are at capacity Georgia has been saying everything is great but they have been und','Petersham, Massachusetts','','Positive'
'1274387454057947137','China jaan gaya ki iski chappan inch ki nahi chaar inch ki chaati hai Yeh Darpok aadmi hai on Feb 7 201','Finland','','Neutral'
'1274387454146076674','More bad news for Florida under Governor who refuses to slow the reopening of the state Florida coronavir','Florida, USA','','Negative'
'1274387454406074372','ANOTHER RECORD COVID19 update from this morning reports 4 049 new positive cases of coronavirus in Florid','South Florida','','Positive'
'1274387454368395264','Good morning I see the Tulsa Mayor suddenly decided on a curfew so people couldn t stand in line early to get into the Trum','','','Positive'
'1274387454246543362','FWD URGENT Required O Blood Group Plasma from COVID Recovered patient recovery made in last 30 days in Manipal Ho','','','Neutral'
'1274387454548738053','Rajavi Over the past 40 years the clerical regime has taken countless lives among the people of Iran to preserve its rule in','London','','Negative'
'1274387454141722624','michigan also appearing to decline a bit after 5 25 pay special notice to how small the am','Olympia, WA','','Positive'
'1274387454779207685','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','San Francisco, CA','','Neutral'
'1274387454926020608','Health Minister shifted to private hospital Wish amp pray for his speedy recovery Recently Delhi CM','Greater Noida, India','','Neutral'
'1274387454930284545','I will be removing my car s brakes You have the freedom to keep driving with brakes in your car if you want Preventi','Southern California','','Neutral'
'1274387455211384832','Two more people with Covid 19 have died in the Republic of Ireland The total number of coronavirus related fatalities is 1','Alphen aan den Rijn. Netherlands','','Positive'
'1274387455299522561','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','New York, USA','','Neutral'
'1274387455404199937','When you have gone without care you make it your mission to heal Refugees who fled war amp persecution are now heading into','Lake Don Pedro','','Neutral'
'1274387455362433025','Hong Kong on Saturday recorded its fifth coronavirus death marking its first fatality in three months The 78 year old wo','','','Positive'
'1274387455421095938','I Will Idk if I m ever going to get over how seemingly everyone has just willed the pandemic away because they were tired of it','19! SHE/THEY! BLACK! GAY!','','Negative'
'1274387612246200321','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','36 chambers','','Negative'
'1274387612250312704','You Can t Believe In Jesus And Be Afraid Of Touching Coronavirus Patients Pastor Chris VIDEO Religion','Obuasi, Ghana','','Negative'
'1274387612384456704','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','','','Negative'
'1274387612371947522','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','New York, USA','','Neutral'
'1274387612447444994','joins the lockdown skeptic movement','','','Neutral'
'1274387612422324225','Oh you have to be fucking kidding me','','','Negative'
'1274387612711694338','All these stats show is that medicine and pandemic response has improved and the virus hasn t b','Derbyshire','','Neutral'
'1274387612849987584','Most such patients improve on their own We don t know if it stops patients from getting into ICU Should mildly ill COVID','','','Positive'
'1274387612929798147','Again I m struck by the inconsistencies of lockdown','','','Negative'
'1274387613038739457','CNN thinks Booing is the worst thing but they had no reaction to rioting and looting FakeNewsCNN COVID19 coronavirus','Gresham, OR','','Negative'
'1274387613172985856','You knows it s a cult when they can literally be dying from COVID and still think maybe it s a hoax bec','United States','','Neutral'
'1274387613235867649','Sharing the details of any Covid 19 patient on social media is a crime The person sharing it and the admin of such gro','HYDERABAD','','Positive'
'1274387613286371330','The worldwide response to COVID19 has demonstrated the power of solidarity People are spreading kindness through their words amp de','','','Neutral'
'1274387613269528576','worst company during Covid Can t reach by phone Numerous agents reply to emails Nothing gets resolv','','','Negative'
'1274387613491888129','Coronavirus Birmingham mask maker 11 raises thousands','Birmingham, UK','','Neutral'
'1274387613428756480','Imagine how embarrassing it would be to know this guy in real life','Portland, Or','','Positive'
'1274387613579788288','did teachers amp nurses get a bonus as thanks to their hard work during COVID','Anaheim, CA','','Negative'
'1274387613676380166','Pay to come to my rally during a pandemic Don t wear a mask Don t try to sue me Don t wear anything that I don t like or yo','','','Neutral'
'1274387613743493122','Prolonging lockdown once the emergency has passed is not being cautious it s extending one or the most damaging public','','','Positive'
'1274387613915516928','At the Trump rally Brian Clothier 61 is wearing an adult diaper over his pants that reads Scientists say farts spre','Illinois','','Positive'
'1274387613789626375','Talked about this on the prog pressure is building for a public campaign to get the app recognised by governme','United Kingdom','','Neutral'
'1274387613869170688','Fed The evidence is in No surges in the cities with massive demonstrations such as Minneapolis and Philadelphia The surges in','Hyperion','','Neutral'
'1274387613978251264','In natural disasters FEMA traditionally helps families cover the costs of burying their dead Not during COVID 19 where th','USA','','Negative'
'1274387614259466240','from one pandemic to another','Offshore','','Neutral'
'1274387614330748929','South Carolina again breaks daily record for positive COVID 19 cases with 1 157 16 2 of tests yesterday were positive hig','The Key Stone state','','Positive'
'1274387614381072384','RESUS If you think wearing a mask cuts off your oxygen just wait until you find out what COVID does','cringe ass nae nae podcaster','','Neutral'
'1274387614515240961','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','','','Negative'
'1274387614485880832','DOCTORS BREAK DOWN COVID RESPONSE AND THE DEMONIZATION OF HCQ 2 brave doctors join Fleccas Talks to discuss the coordinated sk','','','Positive'
'1274387614238412805','Oklahoma to Florida HOLD MY BEER Florida records over 4 000 new cases of COVID 19 in one day','','','Positive'
'1274387614619955203','With the rising Covid19 positive cases in the view of public interest the following 16 facilities will operate as Dedicated C','India','','Positive'
'1274387614649520128','I ve been recommending a 10 allocation of assets to gold for years Looks like wealth managers are finally catching up','','','Positive'
'1274387614699839490','cingraham The point of modern propaganda isn t only to misinform or push an agenda It is to exhaust your critical thinking to anni','Earth','','Positive'
'1274387615039385602','Updating a previous item it seems purchasing has slowed down COMC has seen a net add of 750 cards day over the','','','Negative'
'1274387615270211586','LOL I m sorry I missed it','Rochester, NY... USA','','Positive'
'1274387615249321985','Fancy voting for Wee Jimmy Krankie amp SNP Oh dear','Dundee, Scotland','','Neutral'
'1274387615408676864','Ak You had 3 months of lockdown to switch clubs Yet you came out of lockdown a proud Arsenal fan Whatever your eye is seeing','Lagos, Nigeria','','Positive'
'1274387615509250049','Today is RefugeeDay In the time of COVID19 we celebrate the refugees responding to the pandemic their host communi','Cameroon','','Neutral'
'1274387615643389952','Mexico breaks the 20 000 dead mark from Covid today It took 75 days for Mexico to hit the 10K dead mark It took 19 days','San Pedro Garza García, Nuevo ','','Negative'
